全部,pc,移动
1348,442,906
1292,378,914
1055,106,949
1526,547,979
1468,538,930
1382,484,898
1443,568,875
1201,333,868
998,125,873
1083,155,928
1394,487,907
1251,366,885
1190,330,860
1228,386,842
1073,226,847
962,104,858
991,104,887
1212,366,846
1166,371,795
1041,296,745
967,209,758
917,198,719
818,95,723
835,74,761
889,191,698
861,209,652
815,191,624
874,216,658
828,179,649
686,140,546
