广东省,广州市,440100,131,3,39952,1062,75125,157,383636,3469,11346
广东省,韶关市,440200,133,6,581,34,2549,12,2962,3469,11346
广东省,深圳市,440300,14371,803,63506,4954,87865,295,117277,3469,11346
广东省,珠海市,440400,433,20,5422,98,6769,35,8204,3469,11346
广东省,汕头市,440500,619,71,8452,433,6263,77,6943,3469,11346
广东省,佛山市,440600,821,63,6532,715,11424,151,41437,3469,11346
广东省,江门市,440700,187,53,2263,433,5277,44,37805,3469,11346
广东省,湛江市,440800,180,8,1821,31,5425,23,4462,3469,11346
广东省,茂名市,440900,125,8,747,42,4164,112,6432,3469,11346
广东省,肇庆市,441200,139,27,886,81,3640,18,3703,3469,11346
广东省,惠州市,441300,930,121,4646,439,9141,39,6237,3469,11346
广东省,梅州市,441400,103,7,851,45,3720,11,4762,3469,11346
广东省,汕尾市,441500,87,13,297,31,1099,3,3439,3469,11346
广东省,河源市,441600,99,27,2554,47,3184,15,3607,3469,11346
广东省,阳江市,441700,74,10,492,39,2351,3,2214,3469,11346
广东省,清远市,441800,54,7,389,21,2435,22,4222,3469,11346
广东省,东莞市,441900,4645,565,17611,2282,22332,232,16175,3469,11346
广东省,中山市,442000,585,74,2661,334,10952,41,5657,3469,11346
广东省,潮州市,445100,68,10,612,45,1550,5,5897,3469,11346
广东省,揭阳市,445200,231,64,1284,137,2712,40,2890,3469,11346
广东省,云浮市,445300,41,2,192,17,1503,2,2362,3469,11346
北京市,东城区,110101,74,0,9284,1,11725,17,2683,1136,2154
北京市,西城区,110102,66,1,10342,6,10467,88,2837,1136,2154
北京市,朝阳区,110105,369,2,46724,40,48714,31,5304,1136,2154
北京市,丰台区,110106,83,0,26407,22,29557,31,4839,1136,2154
北京市,石景山区,110107,104,0,4273,7,6175,11,2259,1136,2154
北京市,海淀区,110108,268,8,32558,17,42923,72,7025,1136,2154
北京市,门头沟区,110109,28,1,5164,15,6179,4,796,1136,2154
北京市,房山区,110111,63,1,13005,14,10478,90,3482,1136,2154
北京市,通州区,110112,753,2,19516,38,16488,10,4823,1136,2154
北京市,顺义区,110113,211,0,8296,14,8588,9,4806,1136,2154
北京市,昌平区,110114,111,2,12500,13,16364,18,3981,1136,2154
