name,money,addr
石家庄市丰钰塑料制品有限公司石家庄分公司,-,石家庄市栾城区南五里铺村向阳路67号
金湖县塑料化纤厂,16.5万元人民币,金湖县金沟镇
淮安市荣腾塑业有限公司,1000万元人民币,淮阴区西宋集镇宋集街东首
泰安万邦纤维有限公司,100万元人民币,泰安市仰圣街南头东侧原军分区教导队院内北楼
桂林制药厂药用包装材料分厂,15.1万元人民币,桂林市上海路17号
南通红石科技发展有限公司,500万元人民币,南通市通州区张芝山镇工业园区
黑龙江林港塑胶实业公司,1718万元人民币,黑龙江省大庆市林甸县林甸镇西北街
甘肃华腾新材料股份有限公司,7000万元人民币,甘肃省兰州市兰州新区泰山路8152号
宿迁丰顺新材料有限公司,50万元人民币,宿迁北斗电子信息产业园研发楼3楼
上海霞飞织带有限公司,500万元人民币,上海市宝山区长江南路728号
徐州塑料四厂,340万元人民币,段庄二轻路
乐天化学（嘉兴）有限公司,8214万美元,浙江省嘉兴港区平海路301号
平阳县大华塑化贸易有限公司,500万元人民币,平阳县肖江镇直浃河村
平阳县永乐塑料厂,70万元人民币,肖江镇河滨路
盘锦宇莲商贸有限公司,1050万元人民币,大洼县田家镇高家村(汇美建材市场)
安徽双荣电器电缆有限公司,198万元人民币,安徽省芜湖市无为县新沟工业区
如东县塑料五厂,5.84万元人民币,如东县华丰垻
齐齐哈尔市水师塑料制品厂,100万元人民币,黑龙江省齐齐哈尔市昂昂溪区水师营村
阳谷宏茂塑料制品有限公司,1000万元人民币,山东省聊城市阳谷县十五里元镇张街村村委会向北1500米
佛山市澜石镇美力包装材料厂,38万元人民币,澜石镇海滨东路3号
吉林市吉化龙潭聚丙烯厂,1334万元人民币,龙潭区榆树街
温州鑫泰新材料股份有限公司,1480万元人民币,浙江省温州市苍南县宜山镇环城南路479号
惠侬电子商务（上海）有限公司,200万元人民币,上海市青浦区徐泾镇华徐公路888号1号楼1幢1013室
汝州市长营塑料制品有限公司,82.5万元人民币,汝州市小屯乡长营村南
烟台市牟平区塑料厂,192万元人民币,牟平城区兴华街234号
中山市永峰电子材料有限公司,558万元人民币,中山市小榄镇永宁华业路26号之一
盐城市福明绳网厂经营部,-,盐城市亭湖区健康路11号(2)
华裕（无锡）制药有限公司,850万美元,无锡市马山梅梁路43号
桐乡市健民过滤材料有限公司,4800万元人民币,浙江省嘉兴市桐乡市崇福镇开发区世纪大道北侧
平阳县福鑫塑料厂,68万元人民币,昆敖路城南工业区
河南达新源新材料有限公司,23700万元人民币,卫辉市唐庄镇金松大道
昆明诚发工贸有限公司,50万元人民币,昆明市官渡区工业园区大板桥镇西冲村高家梁子水池
无锡长征钢纤维有限公司,1000万元人民币,宜兴市和桥镇北渠村
运城市华邦塑业有限公司,128万元人民币,运城市解州镇五一路北
苏州和兴昌商贸有限公司,375万元人民币,中国(江苏)自由贸易试验区苏州片区苏州工业园区旺墩路135号融盛商务中心1幢2411室
威海威世化工有限公司,50万元人民币,山东省威海市环翠区高家庄村
深圳市兴盛迪新材料有限公司,3800万元人民币,深圳市宝安区沙井街道新沙路沙一西部工业区50号、52号
鞍山市蓝色集团股份有限公司,6000万元人民币,鞍山市千山区大孤山镇下石桥村
长兴东方红包装有限公司,150万元人民币,长兴县煤山镇槐坎新街
涿州市翔达塑胶有限公司,500万元人民币,涿州市桃园区太平庄村
陕西贝锐安肥业有限公司,300万元人民币,陕西省西咸新区泾河新城永乐镇永乐村北街128号
常州市金坛盘固塑业有限公司,500万元人民币,常州市金坛区薛埠镇百花路北侧东二环116号
大石桥市石佛立国塑料颗粒厂,-,大石桥市石佛镇东前村
胶州市红星粘胶带厂,20万元人民币,胶州市李哥庄镇李哥庄村
天津市金瑞盛塑业有限公司,80万元人民币,天津市滨海新区中塘镇津淄公路205国道旁杨柳庄村道西40米处
银禧工程塑料（东莞）有限公司,22400万元人民币,东莞市道滘镇南阁工业区
平阳县民利编织有限公司,50万元人民币,肖江镇庄里路
南京大厂新华振兴仓储有限公司,54万元人民币,南京市沿江工业开发区长芦街道办事处普东社区五组
江西江雄管道有限公司,2100万元人民币,江西省瑞金市经济技术开发区金龙大道小游园路3号
汕头市达濠区韩江塑料厂,28万元人民币,汕头市光华路132号
六合县灵岩山北编织厂,15.6115万元人民币,六合县灵岩山北村
吐鲁番市新站学校综合加工厂塑料厂,-,吐鲁番市新站
安徽韵乾包装材料有限公司,5000万元人民币,安徽省蚌埠市五河县城南工业园区兴漴路88号
克拉玛依市独山子天利天元化工厂涂膜料厂,120万元人民币,独山子安庆路8号
范县瑞峰化工有限公司,690万元人民币,河南省濮阳市范县濮城镇濮王产业园136号
温岭县大溪纺织塑料厂,3万元人民币,温岭县大溪镇站前路3号
张家川回族自治县京龙塑料制品厂,177万元人民币,甘肃省天水市张家川回族自治县龙山镇滨河路
济南先达塑胶模具有限公司,50万元人民币,济南市天桥区无影山北路清河煤气站内
山东省招远市外贸包装材料厂,138万元人民币,-
靖边县和丰商贸有限公司,1000万元人民币,陕西省榆林市靖边县黄蒿界镇高速路口加气站向南10米
滨州市大章腾浩商贸有限公司,1000万元人民币,滨州市渤海五路521号乔雅商务中心1号楼宾馆
河源市松江化工实业联营有限公司,2400万元人民币,河源市源城区十三号码头河义公路西侧
范县润丰科化有限公司,2000万元人民币,河南省濮阳市范县产业集聚区濮王产业园37号
博兴县湖滨镇选田塑料颗粒经营部,-,博兴县湖滨镇鲁刘村
无锡市融发包装材料有限公司,150万元人民币,无锡惠山经济开发区堰桥配套区堰翔路19号
冀州市利达聚丙烯经销处,-,迎宾大街
榆林市中港聚富商贸有限公司,500万元人民币,陕西省榆林市高新技术产业园区九龙湾小区1幢3单元702室
浙江南化防腐设备有限公司,5000万元人民币,萧山区浦阳镇十三房村(童家山)
上海伟星新型建材有限公司,3500万元人民币,上海市奉贤区航南公路7688号
萍乡市天驰氟材料有限公司,1000万元人民币,江西省萍乡市湘东区湘东镇泉塘村
漳州市芗城解放工业公司塑料制品厂,2万元人民币,解放工业公司
长春市双阳区前进塑料包装厂,48万元人民币,双阳区苏瓦延街
广东星联科技有限公司,6000万元人民币,佛山市南海区桂城街道长江路18号(研发中心1)四层-五层(住所申报)
安庆市塑料薄膜厂,60.7万元人民币,安徽省安庆市经济开发区(站前路)
成都市龙泉柏马塑料制品厂,5万元人民币,成都市龙泉驿区柏合镇马坝村十二组
枣庄市喜得利塑胶科技有限公司,100万元人民币,枣庄市市中区光明路街道岳楼村村东
湖北祥源新材科技股份有限公司,5392.3542万元人民币,汉川市经济开发区华一村
云南精工塑料包装材料有限公司,1200万元人民币,云南省昆明市富民县工业园区豹子沟园区
澧县腾达福利塑料厂,50万元人民币,常德市澧县盐井镇
福建南平华隆泰石化有限公司三明分公司,-,三元区富兴堡四公里处(原吹棉厂内)
宁波万盛实业有限公司,3000万元人民币,浙江省宁波市海曙区高桥镇联升村
山东聊城雁峰塑业有限公司,200万元人民币,聊城市东昌府区凤凰工业园(张疙瘩村)纬3路1号
莘县晟世化工有限公司,105万元人民币,莘县古云经济技术开发区(高堤口村)
沧州正和工程塑料有限公司,850万元人民币,河北省沧州市青县曹寺乡罗庄村南
湖北省来凤县塑料厂,-,翔凤镇菜园子10号
武汉滨湖双鹤药业有限责任公司,18470.82万元人民币,湖北省武汉市东湖新技术开发区左岭工业园
盖州市芦屯供销合作社化工产品经销部,-,-
重庆瑞霆塑胶有限公司,1500万元人民币,重庆市长寿区葛兰镇健东路19号
江西昊金新材料有限公司,6666万元人民币,江西省宜春市丰城市循环经济园区三期中小企业孵化园6号厂房内
平阳县大汇塑料经营部,-,平阳县萧江镇庆港路16号
佳易容相容剂江苏有限公司,8000万元人民币,如东县洋口镇化学工业园区
安徽鸿森塑业有限公司,3500万元人民币,安徽省界首市鸭王工业区
浦江金鑫塑业股份有限公司,500万元人民币,浙江省浦江县宏业大道777号
广东德冠薄膜新材料股份有限公司,10000万元人民币,佛山市顺德区大良顺峰山工业区
安徽庆睿实业有限责任公司,5000万元人民币,合肥市包河区黄山路与宿松路交口时尚家园3幢303室
