日期,省,城市,城市代码,口罩相关厂商,熔喷布相关厂商,纺织机械相关厂商,无纺布相关厂商,医疗器械相关厂商,聚丙烯相关厂商,卫生相关厂商,人口密度,人口数,确诊,疑似,治愈,死亡,百度指数全部,百度指数pc,百度指数移动
2019-12-26,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,35,0,0,0,1055,190,865
2019-12-27,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,37,0,0,0,995,194,801
2019-12-28,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,37,0,0,0,983,123,860
2019-12-29,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,37,0,0,0,997,131,866
2019-12-30,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,37,0,0,0,1091,223,868
2019-12-31,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,40,0,0,0,1479,475,1004
2020-01-01,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,43,0,0,0,1008,112,896
2020-01-02,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,44,0,0,0,1133,253,880
2020-01-03,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,41,0,0,0,1092,247,845
2020-01-04,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,41,0,0,0,1026,162,864
2020-01-05,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,41,0,0,0,1003,140,863
2020-01-06,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,41,0,0,0,1110,251,859
2020-01-07,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,41,0,0,0,1069,218,851
2020-01-08,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,41,0,0,0,1124,282,842
2020-01-09,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,41,0,0,0,1127,274,853
2020-01-10,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,41,0,2,1,1015,233,782
2020-01-11,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,41,0,6,1,934,127,807
2020-01-12,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,41,0,7,1,881,95,786
2020-01-13,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,41,0,7,1,1008,215,793
2020-01-14,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,41,0,7,1,997,215,782
2020-01-15,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,41,0,12,2,895,225,670
2020-01-16,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,45,0,15,2,631,225,406
2020-01-17,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,62,0,19,2,1012,239,773
2020-01-18,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,121,0,24,3,1033,170,863
2020-01-19,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,198,0,25,3,1841,817,1024
2020-01-19,广东省,深圳市,440300,14371,803,63506,4954,87865,295,117277,3469,11346,1,0,0,0,1841,817,1024
2020-01-21,北京市,西城区,110102,66,1,10342,6,10467,88,2837,1136,2154,1,0,0,0,61585,12100,49485
2020-01-21,北京市,丰台区,110106,83,0,26407,22,29557,31,4839,1136,2154,1,0,0,0,61585,12100,49485
2020-01-21,北京市,海淀区,110108,268,8,32558,17,42923,72,7025,1136,2154,2,0,0,0,61585,12100,49485
2020-01-21,北京市,通州区,110112,753,2,19516,38,16488,10,4823,1136,2154,1,0,0,0,61585,12100,49485
2020-01-21,北京市,昌平区,110114,111,2,12500,13,16364,18,3981,1136,2154,2,0,0,0,61585,12100,49485
