重庆,黔江区,500114,304
重庆,长寿区,500115,229
重庆,江津区,500116,452
重庆,合川区,500117,370
重庆,永川区,500118,279
重庆,南川区,500119,92
重庆,璧山区,500120,182
重庆,铜梁区,500151,152
重庆,潼南区,500152,68
重庆,荣昌区,500153,254
重庆,开州区,500154,69
重庆,梁平区,500155,55
重庆,武隆区,500156,31
重庆,城口县,500229,16
重庆,丰都县,500230,68
重庆,垫江县,500231,78
重庆,忠县,500233,101
重庆,云阳县,500235,43
重庆,奉节县,500236,68
重庆,巫山县,500237,21
重庆,巫溪县,500238,18
重庆,石柱土家族自治县,500240,58
重庆,秀山土家族苗族自治县,500241,316
重庆,酉阳土家族苗族自治县,500242,303
重庆,彭水苗族土家族自治县,500243,64
陕西,西安市,610100,19609
陕西,铜川市,610200,259
陕西,宝鸡市,610300,1377
陕西,咸阳市,610400,1490
陕西,渭南市,610500,749
陕西,延安市,610600,670
陕西,汉中市,610700,383
陕西,榆林市,610800,1689
陕西,安康市,610900,373
陕西,商洛市,611000,149
湖南,长沙市,430100,14019
湖南,株洲市,430200,2104
湖南,湘潭市,430300,2000
湖南,衡阳市,430400,1026
湖南,邵阳市,430500,905
湖南,岳阳市,430600,1576
湖南,常德市,430700,1470
湖南,张家界市,430800,290
湖南,益阳市,430900,693
湖南,郴州市,431000,812
湖南,永州市,431100,801
湖南,怀化市,431200,490
湖南,娄底市,431300,942
湖南,湘西土家族苗族自治州,433100,300
辽宁,沈阳市,210100,17658
辽宁,大连市,210200,4126
辽宁,鞍山市,210300,1140
辽宁,抚顺市,210400,974
辽宁,本溪市,210500,493
辽宁,丹东市,210600,4455
辽宁,锦州市,210700,711
辽宁,营口市,210800,1461
辽宁,阜新市,210900,317
辽宁,辽阳市,211000,1148
辽宁,盘锦市,211100,691
辽宁,铁岭市,211200,421
辽宁,朝阳市,211300,788
辽宁,葫芦岛市,211400,777
天津,和平区,120101,1418
天津,河东区,120102,927
天津,河西区,120103,2987
天津,南开区,120104,2480
天津,河北区,120105,4284
天津,红桥区,120106,1774
天津,东丽区,120110,2538
天津,西青区,120111,1670
天津,津南区,120112,1879
天津,北辰区,120113,1680
天津,武清区,120114,2980
天津,宝坻区,120115,964
天津,滨海新区,120116,7530
天津,宁河区,120117,774
天津,静海区,120118,726
天津,蓟州区,120119,760
江西,南昌市,360100,5258
江西,景德镇市,360200,384
江西,萍乡市,360300,584
江西,九江市,360400,2818
江西,新余市,360500,1847
江西,鹰潭市,360600,362
江西,赣州市,360700,1491
江西,吉安市,360800,1421
江西,宜春市,360900,1729
江西,抚州市,361000,682
江西,上饶市,361100,2337
云南,昆明市,530100,8603
云南,曲靖市,530300,618
云南,玉溪市,530400,769
云南,保山市,530500,727
云南,昭通市,530600,241
云南,丽江市,530700,147
云南,普洱市,530800,269
云南,临沧市,530900,428
云南,楚雄彝族自治州,532300,280
云南,红河哈尼族彝族自治州,532500,1019
云南,文山壮族苗族自治州,532600,387
云南,西双版纳傣族自治州,532800,353
云南,大理白族自治州,532900,337
云南,德宏傣族景颇族自治州,533100,951
云南,怒江傈僳族自治州,533300,53
云南,迪庆藏族自治州,533400,36
广西,南宁市,450100,17099
广西,柳州市,450200,4053
广西,桂林市,450300,1234
广西,梧州市,450400,1119
广西,北海市,450500,1202
广西,防城港市,450600,2423
广西,钦州市,450700,812
广西,贵港市,450800,604
广西,玉林市,450900,1405
广西,百色市,451000,1071
广西,贺州市,451100,284
广西,河池市,451200,407
广西,来宾市,451300,615
广西,崇左市,451400,1837
山西,太原市,140100,14433
山西,大同市,140200,1048
山西,阳泉市,140300,1184
山西,长治市,140400,1601
山西,晋城市,140500,845
山西,朔州市,140600,1109
山西,晋中市,140700,1563
山西,运城市,140800,6916
山西,忻州市,140900,576
山西,临汾市,141000,1197
山西,吕梁市,141100,1414
贵州,贵阳市,520100,6634
贵州,六盘水市,520200,319
贵州,遵义市,520300,901
贵州,安顺市,520400,250
贵州,毕节市,520500,1617
贵州,铜仁市,520600,264
贵州,黔西南布依族苗族自治州,522300,335
贵州,黔东南苗族侗族自治州,522600,450
贵州,黔南布依族苗族自治州,522700,548
吉林,长春市,220100,7443
吉林,吉林市,220200,2907
吉林,四平市,220300,378
吉林,辽源市,220400,172
吉林,通化市,220500,301
吉林,白山市,220600,225
吉林,松原市,220700,505
吉林,白城市,220800,212
吉林,延边朝鲜族自治州,222400,1347
黑龙江,哈尔滨市,230100,9962
黑龙江,齐齐哈尔市,230200,1050
黑龙江,鸡西市,230300,218
黑龙江,鹤岗市,230400,120
黑龙江,双鸭山市,230500,274
黑龙江,大庆市,230600,18396
黑龙江,伊春市,230700,206
黑龙江,佳木斯市,230800,893
黑龙江,七台河市,230900,96
黑龙江,牡丹江市,231000,627
黑龙江,黑河市,231100,738
黑龙江,绥化市,231200,598
黑龙江,大兴安岭地区,232700,115
内蒙古,呼和浩特市,150100,5301
内蒙古,包头市,150200,1634
内蒙古,乌海市,150300,170
内蒙古,赤峰市,150400,2117
内蒙古,通辽市,150500,528
内蒙古,鄂尔多斯市,150600,1942
内蒙古,呼伦贝尔市,150700,640
内蒙古,巴彦淖尔市,150800,391
内蒙古,乌兰察布市,150900,264
内蒙古,兴安盟,152200,263
内蒙古,锡林郭勒盟,152500,927
内蒙古,阿拉善盟,152900,244
新疆,乌鲁木齐市,650100,23510
新疆,克拉玛依市,650200,2600
新疆,吐鲁番市,650400,270
新疆,哈密市,650500,612
新疆,昌吉回族自治州,652300,1917
新疆,博尔塔拉蒙古自治州,652700,886
新疆,巴音郭楞蒙古自治州,652800,8936
新疆,阿克苏地区,652900,1573
新疆,克孜勒苏柯尔克孜自治州,653000,266
新疆,喀什地区,653100,2832
新疆,和田地区,653200,1663
新疆,伊犁哈萨克自治州,654000,2873
新疆,塔城地区,654200,605
新疆,阿勒泰地区,654300,231
新疆,自治区直辖县级行政区划,659000,2242
甘肃,兰州市,620100,5292
甘肃,嘉峪关市,620200,423
甘肃,金昌市,620300,340
甘肃,白银市,620400,1750
甘肃,天水市,620500,383
甘肃,武威市,620600,508
甘肃,张掖市,620700,490
甘肃,平凉市,620800,504
甘肃,酒泉市,620900,981
甘肃,庆阳市,621000,993
甘肃,定西市,621100,368
甘肃,陇南市,621200,335
甘肃,临夏回族自治州,622900,194
