2020-01-22,广东省,韶关市,440200,133,6,581,34,2549,12,2962,3469,11346,2,0,0,0,119548,14552,104996,1
2020-01-22,广东省,深圳市,440300,14371,803,63506,4954,87865,295,117277,3469,11346,15,0,0,0,119548,14552,104996,1
2020-01-22,广东省,珠海市,440400,433,20,5422,98,6769,35,8204,3469,11346,4,0,0,0,119548,14552,104996,1
2020-01-22,广东省,佛山市,440600,821,63,6532,715,11424,151,41437,3469,11346,1,0,0,0,119548,14552,104996,1
2020-01-22,广东省,湛江市,440800,180,8,1821,31,5425,23,4462,3469,11346,2,0,0,0,119548,14552,104996,1
2020-01-22,广东省,肇庆市,441200,139,27,886,81,3640,18,3703,3469,11346,1,0,0,0,119548,14552,104996,1
2020-01-22,广东省,惠州市,441300,930,121,4646,439,9141,39,6237,3469,11346,1,0,0,0,119548,14552,104996,1
2020-01-22,广东省,中山市,442000,585,74,2661,334,10952,41,5657,3469,11346,1,0,0,0,119548,14552,104996,1
2020-01-22,广西壮族自治区,柳州市,450200,105,7,4053,40,6270,43,5842,2025,4926,0,1,0,0,119548,14552,104996,1
2020-01-22,广西壮族自治区,梧州市,450400,44,1,1119,8,2813,9,4772,2025,4926,1,0,0,0,119548,14552,104996,1
2020-01-22,广西壮族自治区,北海市,450500,15,2,1202,8,2267,16,2328,2025,4926,1,0,0,0,119548,14552,104996,1
2020-01-22,海南省,海口市,460100,386,0,11252,68,12440,20,14147,2460,934,1,10,0,0,119548,14552,104996,1
2020-01-22,海南省,三亚市,460200,65,0,1062,8,1936,1,2927,2460,934,2,8,0,0,119548,14552,104996,1
2020-01-22,海南省,儋州市,460400,24,0,143,1,618,1,1152,2460,934,0,3,0,0,119548,14552,104996,1
2020-01-22,重庆市,万州区,500101,60,0,289,2,2001,6,1317,2026,3102,2,0,0,0,119548,14552,104996,1
2020-01-22,重庆市,涪陵区,500102,132,0,335,2,1049,9,2293,2026,3102,1,0,0,0,119548,14552,104996,1
2020-01-22,重庆市,长寿区,500115,45,0,229,13,1051,12,5065,2026,3102,1,0,0,0,119548,14552,104996,1
2020-01-22,重庆市,永川区,500118,126,0,279,11,1859,11,2491,2026,3102,2,0,0,0,119548,14552,104996,1
2020-01-22,重庆市,垫江县,500231,32,0,78,4,654,0,453,2026,3102,1,0,0,0,119548,14552,104996,1
2020-01-22,重庆市,巫山县,500237,6,0,21,0,246,0,192,2026,3102,2,0,0,0,119548,14552,104996,1
2020-01-22,四川省,成都市,510100,617,30,54853,0,97072,139,60263,3068,8341,2,2,0,0,119548,14552,104996,1
2020-01-22,四川省,绵阳市,510700,60,2,2103,0,7066,25,0,3068,8341,2,0,0,0,119548,14552,104996,1
2020-01-22,四川省,广安市,511600,18,5,603,17,2928,9,0,3068,8341,1,0,0,0,119548,14552,104996,1
2020-01-22,贵州省,贵阳市,520100,109,37,6634,117,15565,38,12324,2412,3600,1,0,0,0,119548,14552,104996,1
2020-01-22,贵州省,铜仁市,520600,29,6,264,22,1681,1,2720,2412,3600,1,0,0,0,119548,14552,104996,1
2020-01-22,贵州省,黔南布依族苗族自治州,522700,52,4,548,17,2423,11,3891,2412,3600,1,0,0,0,119548,14552,104996,1
2020-01-22,陕西省,西安市,610100,2498,0,19609,380,54638,177,84477,4450,3864,2,0,0,0,119548,14552,104996,1
2020-01-22,陕西省,咸阳市,610400,68,0,1490,71,4265,43,12371,4450,3864,1,0,0,0,119548,14552,104996,1
2020-01-22,陕西省,延安市,610600,14,0,670,5,1843,205,3633,4450,3864,1,0,0,0,119548,14552,104996,1
2020-01-22,宁夏回族自治区,银川市,640100,56,0,3589,73,8262,100,8025,1371,688,1,0,0,0,119548,14552,104996,1
2020-01-23,北京市,西城区,110102,66,1,10342,6,10467,88,2837,1136,2154,3,0,0,0,164319,14712,149607,1
2020-01-23,北京市,朝阳区,110105,369,2,46724,40,48714,31,5304,1136,2154,2,0,0,0,164319,14712,149607,1
2020-01-23,北京市,丰台区,110106,83,0,26407,22,29557,31,4839,1136,2154,1,0,0,0,164319,14712,149607,1
2020-01-23,北京市,石景山区,110107,104,0,4273,7,6175,11,2259,1136,2154,1,0,0,0,164319,14712,149607,1
2020-01-23,北京市,海淀区,110108,268,8,32558,17,42923,72,7025,1136,2154,3,0,0,0,164319,14712,149607,1
2020-01-23,北京市,通州区,110112,753,2,19516,38,16488,10,4823,1136,2154,2,0,0,0,164319,14712,149607,1
2020-01-23,北京市,昌平区,110114,111,2,12500,13,16364,18,3981,1136,2154,2,0,0,0,164319,14712,149607,1
2020-01-23,北京市,大兴区,110115,145,0,10951,39,14428,16,4055,1136,2154,2,0,0,0,164319,14712,149607,1
2020-01-23,河北省,石家庄市,130100,928,49,17846,2485,35885,340,30944,3210,7556,1,0,0,0,164319,14712,149607,1
2020-01-23,河北省,沧州市,130900,157,23,2370,483,7511,360,15259,3210,7556,1,0,0,1,164319,14712,149607,1
2020-01-23,山西省,太原市,140100,95,4,14433,77,17802,12,20862,3514,3718,1,0,0,0,164319,14712,149607,1
2020-01-23,内蒙古自治区,呼伦贝尔市,150700,12,0,640,4,2961,5,4520,1846,2534,1,0,0,0,164319,14712,149607,1
2020-01-23,内蒙古自治区,锡林郭勒盟,152500,27,0,927,16,1819,7,2280,1846,2534,0,2,0,0,164319,14712,149607,1
2020-01-23,辽宁省,沈阳市,210100,415,36,17658,390,35130,85,24802,1782,4359,2,0,0,0,164319,14712,149607,1
2020-01-23,辽宁省,大连市,210200,556,37,4126,286,16339,1300,11092,1782,4359,1,0,0,0,164319,14712,149607,1
2020-01-23,辽宁省,朝阳市,211300,46,5,788,43,3382,22,13020,1782,4359,1,0,0,0,164319,14712,149607,1
2020-01-23,吉林省,长春市,220100,345,22,7443,280,27483,76,25469,1831,2704,1,0,0,0,164319,14712,149607,1
2020-01-23,吉林省,吉林市,220200,41,0,2907,52,7768,42,13839,1831,2704,1,0,0,0,164319,14712,149607,1
2020-01-23,吉林省,松原市,220700,24,0,505,24,3158,11,3845,1831,2704,1,0,0,0,164319,14712,149607,1
2020-01-23,黑龙江省,哈尔滨市,230100,319,0,9962,176,31479,47,27119,5476,3773,1,0,0,0,164319,14712,149607,1
2020-01-23,黑龙江省,大庆市,230600,38,0,18396,76,6696,71,31582,5476,3773,1,0,0,0,164319,14712,149607,1
2020-01-23,黑龙江省,牡丹江市,231000,70,0,627,36,3523,18,5302,5476,3773,1,0,0,0,164319,14712,149607,1
2020-01-23,黑龙江省,绥化市,231200,25,0,598,33,4165,5,6372,5476,3773,1,0,0,1,164319,14712,149607,1
2020-01-23,江苏省,南京市,320100,1552,3,22042,290,42079,158,27159,2176,8051,3,0,0,0,164319,14712,149607,1
2020-01-23,江苏省,无锡市,320200,4429,12,42232,951,20688,192,21969,2176,8051,1,0,0,0,164319,14712,149607,1
