95,4,14433,77,17802,12,20862,3514,3718,20,0,20,0,335,83,252
95,4,14433,77,17802,12,20862,3514,3718,20,0,20,0,279,61,218
95,4,14433,77,17802,12,20862,3514,3718,20,0,20,0,298,74,224
95,4,14433,77,17802,12,20862,3514,3718,20,0,20,0,351,66,285
95,4,14433,77,17802,12,20862,3514,3718,20,0,20,0,332,76,256
95,4,14433,77,17802,12,20862,3514,3718,20,0,20,0,316,74,242
95,4,14433,77,17802,12,20862,3514,3718,20,0,20,0,313,74,239
95,4,14433,77,17802,12,20862,3514,3718,20,0,20,0,234,0,234
95,4,14433,77,17802,12,20862,3514,3718,21,0,20,0,201,0,201
95,4,14433,77,17802,12,20862,3514,3718,21,0,20,0,198,0,198
95,4,14433,77,17802,12,20862,3514,3718,21,0,20,0,295,61,234
95,4,14433,77,17802,12,20862,3514,3718,21,0,20,0,307,66,241
95,4,14433,77,17802,12,20862,3514,3718,21,0,20,0,303,82,221
95,4,14433,77,17802,12,20862,3514,3718,21,0,20,0,292,78,214
95,4,14433,77,17802,12,20862,3514,3718,21,0,20,0,303,72,231
95,4,14433,77,17802,12,20862,3514,3718,21,0,21,0,335,82,253
95,4,14433,77,17802,12,20862,3514,3718,21,0,21,0,303,57,246
95,4,14433,77,17802,12,20862,3514,3718,21,0,21,0,349,68,281
95,4,14433,77,17802,12,20862,3514,3718,21,0,21,0,323,82,241
95,4,14433,77,17802,12,20862,3514,3718,21,0,21,0,289,68,221
95,4,14433,77,17802,12,20862,3514,3718,21,0,21,0,290,72,218
95,4,14433,77,17802,12,20862,3514,3718,21,0,21,0,285,63,222
95,4,14433,77,17802,12,20862,3514,3718,21,0,21,0,304,63,241
95,4,14433,77,17802,12,20862,3514,3718,21,0,21,0,319,63,256
95,4,14433,77,17802,12,20862,3514,3718,21,0,21,0,429,74,355
95,4,14433,77,17802,12,20862,3514,3718,21,0,21,0,325,68,257
95,4,14433,77,17802,12,20862,3514,3718,21,0,21,0,306,68,238
95,4,14433,77,17802,12,20862,3514,3718,21,0,21,0,298,76,222
95,4,14433,77,17802,12,20862,3514,3718,21,0,21,0,259,63,196
95,4,14433,77,17802,12,20862,3514,3718,21,0,21,0,201,0,201
